e,n,detail
2679349,1247651,"Sehr geehrte Damen und Herren In der Presse habe ich entnommen, dass giftige Spinnen eingeschleppt wurden. Bei mir zu Hause hatte ich vorgestern ein gleiches Exemplar wie auf dem Bild, in meinem Schlafzimmer. Heute habe ich diese auf dem Bild in der Waschküche entdeckt. Handelt es sich um die giftige Spinne? Und wenn ja, wie kann ich verhindern, dass diese zu mir ins Schlafzimmer kommen? Ich hatte diese Spinnen auch letztes und vorletztes Jahr gesichtet. Ich freue ich auf Ihren Bescheid. Mit besten Grüssen"
2682264,1250231,Hallo! <br/>  <br/> Heute Morgen habe ich an unserer Terrassen-Glastüre eine Nosferatu-Spinne mit grossem Spinnennetz gefunden... <br/>  <br/> Ich habe sie jetzt in einem Konfiglas. Was soll ich machen? <br/>  <br/> Freundliche Grüsse Mike Hofmann
2678407,1249005,Unsere Untermieterin hat seit Samstag aus der Dachlampe die Schädlinge. Was soll sie tun?
2678129,1249151,Hallo <br/>  <br/> Ich weiss nicht ob das die Nosferatu- Spinne ist & ich wüsste auch nicht genau ob ich das melden muss oder nicht. <br/>  <br/> Vielen dank <br/>  <br/>
2684519,1252109,"Biber/Bisamratte wurde aktiv, dahinter direkt ein Restaurant:-)"
2680804,1251805,Ist das ein einheimisches Insekt ? Es gibt momentan ziemlich viele von denen . Vielen Dank
2683409,1251724,"Extrem viele Ratten in und um den Bahnhof Oerlikon (hier eine vor die Linse bekommen). Nachts sind die Ratten extrem verbeitet, dringen sogar in abgeschlossene Räume beim Bahnhof ein und rennen danach mit Fressen auf die Baustelle vom ehemaligen Swissotel. Hoffe die kommen nicht in kontakt mit frischen Lebensmitteln. Bitte hier um Problemlösung."
2682968,1252592,"Grüezi seit Mitte Nachmittag stinkt das ganze Quartier dass Gott erbarm! Von Schulhaus Himmeristrasse bis fast zum Coop 11 bin ich alles abgefahren, kann die Quelle nicht lokalisieren. Stinkt wie wenn jemand Abfall und Plastik verbrennt ... Mit freundlichen Grüssen"
2683242,1251591,"Grüezi Ich sehe hier immer wieder (tagsüber) Ratten. Sie haben unter dem Stein in dem Vorgarten (Rasen) ein Nest. Ein Eingang wurde von jemandem mit einer Plastikfolie zugestopft, aber die sind immer noch da. Freundliche Grüsse"
2682667,1252071,"Es stinkt in den letzten 2 Tagen stark nach Kompost/Dünger in Oerlikon, nicht lokalisierbar aber grossflächig, ab MFO Park/PWC bis zum NOERD. Die Fenster bleiben geschlossen."
2681222,1252290,Tigermücke gefunden
2683972,1246393,Tigermücke
2681785,1246832,"Hallo Wie mit Euch besprochen, hier noch die Meldung der Orientalischen Schwabe. 26.10.2022 An diesem Standort (Spalt zwischen Asphalt und Haus, oder unter Biocontainer) mehrmals diesen Sommer gesehen. <br/>  <br/>"
2681595,1248860,"Hallo, <br/>  <br/> Bei Frau Gerold's Garten wird den ganzen Winter Holz in Feuerschalen verbrannt und ich vermute, dass sie auch die Winterstube mit Holz heizen. Es ist schön und cosy aber die Luft in der ganzen Gegend ist sehr toxisch und ist kaum atembar wenn man in der Nähe ist. Ist man in Zürich nicht verpflichtet Filter zu benutzen wenn man soviel Holz verbrennt, vor allem im Stadtzentrum ? Ich bin sicher dass wenn man da die Luft misst, hat man eine sehr hohe Konzentration von Feinstaubpartikeln. Kann die Stadt oder Polizei nicht dagegen intervenieren, so dass die Luft wieder atembar wird ? Vielen Dank."
2679237,1248616,"Guten Tag Wir haben Schimmel im WC Bereich, die bekämpfe ich mit einen Schimmel Spray Zeit einem Jahr und im beiden Schlafzimmern fängt es jetzt an, sowie bei der Wohnzimmer Türen. Ein anderes Problem dass, ich bereits an Herr Guarneri damals gemeldet habe und keinen Profi mich Kontaktiert hatte ist wegen dem Gewitter wo Wasser ins Boden gelangen ist und durch die Wand gedrungen ist. Außerdem hat der Boden auch Schäden vom Gewitter getragen. Danke für die Möglichkeit den neuen App als *erst Nutzer* zu benutzen sowie für einen baldiges Rückmeldung Freundliche Grüsse"
2683901,1249177,"Nosferatuspinne, zum wiederholten Mal beim gleichen Fenster"
2682211,1247916,Sehr geehrte Damen und Herren Wir haben um die Liegenschaft Hohlstrasse 25 Ratten gesichtet. In der Garagenabfahrt zu den Parkplätze Post Molkenstrasse Hohlstrasse 27 soeie zu unserem LieferantenEingang. Freundliche Grüsse
2680196,1253087,Ratte gesichtet 6.00
2681697,1247404,"Mehrere Ratten gesehen. Diese kommen beim Neubau aus einem Rohr im EG und halten sich Tagsüber auch draussen auf im Schutt vom Neubau. Rückseite vom Haus Weststrasse 116, angrenzend Nr. 112."
2681698,1247403,Zusätzliche Fotos zur Meldung betr. Rattensichtung. Rohr wurde unterdessen von jemandem verschlossen mit Besen.
2684726,1246993,Züri WC versprayt
2682647,1251694,Tigermücke?
2677902,1249085,Tigermücke
2681742,1247051,Eventuell Tigermücke gefangen?
2683198,1251571,"Die ganzen Sträucher an der Hofwiesenstrasse sind mit Gespinstmotten befallen. Es ist so schlimm, dass die Leute anhalten, um Fotos zu machen. Es sieht grässlich aus und wenn die schlüpfen wird das ganze Quartier voller fliegender Viecher sein. Jwtzt sind es noch Raupen, wäre schön wenn man die entfernene könnte. Auch weil sonst die Sträucher futsch sind."
2683194,1251557,Grossflächiger Befall mit Gespinstmotten.
2685606,1248261,"Guten Tag <br/>  <br/> Ich wurde letzte Woche wohl von einer Tigermücke gestochen und nun wurde mir gesagt, dass ich dies melden soll. Es gab einen sehr grossen schmerzhaften Stich der lange lästig war. Und es geschah am Tag. Ich habe die Mücke aber nicht deutlich genug identifizieren können um ganz sicher zu sein. Durch all die stehenden Brunnen in den Schrebergärten sind generell sehr viele Mücken unterwegs, vor allem im schattigeren Gebiet in Waldnähe. Über meinen Brunnen habe ich nun ein Moskitonetz gespannt aber alle anderen sind natürlich immernoch Brutstätten. Vielleicht könnte man die Situation vor Ort einmal anschauen und gegebenenfalls den Vereinsmitgliedern eine offizielle Empfehlung aussprechen wie die vielen Brunnen mit stehendem Wasser gehandhabt werden sollen. <br/>  <br/> Besten Dank und freundliche Grüsse"
2682011,1244041,"Vermutlich eine asiatische Tigermücke. Sie hat weisse Ringe am hinterbein und weisse Flecken am Körper. Ich bin mir aber nicht ganz sicher, mit dem identifizieren."
2683747,1248825,Leider Schmiereien
2683503,1247086,Es hat wieder Tauben im E-Graben zwischen Kirch- und Rössligasse die dort nisten. Bitte der verantwortlichen Verwaltung melden.
2682940,1243696,Mücke hat mich tagsüber stechen wollen. Verdacht auf Tiegermücke. Habe sie getötet und fotografiert.
2680606,1252488,"Hornisse? geht immer wieder in den Spalt von runter gelassenem Rollladen und Aussen. Täglich!! Gibt das ein Nest? Ist aber sehr eng dort. Zudem ziehe ich im August um und bei der Endreinigung, wird das ein Problem…Ich habe keine Angst davor, ist einfach störend, wegen des Umzugstermins. Ich denke auch, im Beginn zu unterbrechen, wäre besser, auch für das Insekt! Was kann und muss ich tun? Ich kreuze nun Schädlinge an, auch wenn es das eigentlich nicht ist…"
2681997,1247754,Hallo <br/>  <br/> Könnt Ihr die als Gryllus bimaculatus bestätigen? <br/>  <br/> FR 2. Juni an der Kanzleistrasse 77. <br/>  <br/> Entwichenes Futtertier - oder habt Ihr gelegentlich Nachweise? <br/>  <br/>
2684467,1246575,Ist dies eine Tigermücke?
2682629,1243993,Asiatische Tiegermücke zum gefühlt 10 mal gesichtet in den letzten wochen
2683568,1250338,Potentielle Tigermücke im Irchelpark. Das Foto ist leider nicht gut genug um eventuelle Ringe an den Hinterbeinen zu identifizieren.
2686269,1246157,Denke das es eine Tiegermücke ist. War bei mir im Schlafzimmer. Alle Kriterien stimmen überein.
2685425,1247112,Asiatische Tigermücke im Büro.
2681707,1246495,Hier befinden sich eine grosse Menge von Schaben. Sie sind in der Nacht unterwegs. In grossen Mengen. Bei den Bäumen an der Üetlibergstrasse 22.
2679061,1249256,"Wir haben im Pinienbaum der Nachbaren, Pinienprozessionsspinner Neste entdeckt. In unsere Wohnung sind auch mehrere der Motten rein geflogen und gestorben, während wir 1 woche in den Ferien waren."
2679061,1249256,"Wir haben im Pinienbaum der Nachbaren, Pinienprozessionsspinner Neste entdeckt. In unsere Wohnung sind auch mehrere der Motten rein geflogen und gestorben, während wir 1 woche in den Ferien waren."
2678821,1251318,"Auch nach mehrmaligem Wegputzen ist innert eines Tages dieser trockene braune Staub (wie Kaffeesatz) wieder auf unserem Terrassenboden in der Nähe der Holzverkleidung. Anfänglich wurden Ameisen als Grund vermutet (Ameisenstrasse in der Nähe) nach Platzierung von Köderfallen sind die Ameisen verschwunden, die braunen Staubhäufchen aber nicht. Man sieht keine Tierchen an der Arbeit."
2680809,1252209,"Vielleicht Tigermücke. Zwar nicht so klein, aber tagaktiv. Kopf leider nicht identifizierbar, da totgeschlagen."
2682019,1250020,Tigermücke gefunden
2680943,1250344,Unser Baum ist von mehreren dieser Käfer befallen …..was können wir dagegen machen? Ist dies ein Schädling ? Würde gerne unseren Baum behalten….. Viele danke für ihre schnelle Antwort
2682313,1244471,Asiatische Buschmücke
2682261,1247876,Ratten in Müllcontainer.
2682259,1247888,"Schon länger hausen hier Ratten in den Containern. Sie sind sehr nachtaktive Tiere und ich habe das Gefühl, dass sie sich bereits vermehren."
2686009,1245597,"Sehr geehrte Damen und Herren, ich wollte Ihnen mitteilen, dass ich möglicherweise auf Tiger Mücke gestossen bin. Es war im Familiengarten Zürich Ost, Wehrenbach. Ich fügte das Bild zu bestätigen, wie es einige ähnliche Art von Mücke sein könnte. Fall Sie weitere Fragen haben stehe ich gerne Ihnen zur Verfügung. <br/>  <br/> Mit freundlichen Grüssen"
2686660,1246116,Tigermücke im Badezimmer gefangen.
2685588,1245955,Es gibt einen Waspennest
2680087,1247889,Tigermücke
2682510,1252274,"Seltsam vor einer Woche war noch alles okey, jetzt liegen vor dem Baum ca 2kg Holzpulver am boden, irgendeine Ameisen oder Termitenart fällt den Baum, glaub hier handelt es sich um ein Schädling, bitte um Kontrolle, Baum sieht nicht mehr so gut aus, gefährlich falls dieser auf den Spielplatz fällt."
2680903,1252260,"Guten Morgen, wir haben Mäuseplage. Was können wir machen? Wie müssen wir vorgehen? An wen können wir uns wenddn? Freundliche Grüsse Gabriele"
2682524,1244817,Habe in der Wohnung eine Mücke mit weißen Streifen gefunden.
2682083,1243785,"GutenTag Heute haben wir den abgebildeten Käfer auf unsere Terrasse gefunden, nicht mehr ganz lebendig. Er gleicht den im Internet abgebildeten „Japankäfern“. Können sie uns aufgrund der Abbildung mitteilen, ob es sich tatsächlich um ein solches Exemplar handelt? Besten Dank u freundliche Grüsse"
2684217,1245542,In der Wohnung nach den Ferien entdeckt
2678713,1251050,"Wahrscheinlich japanische buschmücken - sie haben an den Beinen weisse Streifen, der Kopf sah jedoch leicht gelblich aus… gem. eurer webseite soll man euch Sichtungen melden. <br/>  <br/> Gesichtet bei tram station frankental sowie im naheliegenden Oberengstringen"
2679724,1248643,Aus diesem Gulli kam gerade eine braune Ratte geklettert
2679640,1248526,Mindestens 3 Braune Ratten gesichtet
2678910,1249851,Mögliche Tiegermücke im Fitness
2682438,1248436,"Mückeninvasion, 2. Stock"
2685584,1251003,"Es hat Mäuse und Ratten die sich rund um den Hügel hinter Züri WC tummeln, am frühen Morgen bis zum Eingang vom Coop Habe schon eine Meldung gemacht, bin jedoch nicht sicher ob diese angekommen ist."
2679460,1248316,Guten Morgen <br/>  <br/> Wissen Sie ob das eine Tigermücke ist? <br/>  <br/> Freundliche Grüsse
2681176,1251720,Diese Mücke flog bei uns heute aus dem Wintergarten herein und wir konnten sie jetzt zwischen Fenster und Mückengitter „einsperren“. Ich glaube es ist eine Tiger- oder Gelbfiebermücke.
2679585,1248429,"Guten Tag, wir sehen jeden Tag mehrere inzwischen sehr zutrauliche Ratten. Sie scheinen inzwischen schon ins Haus reinkommen zu wollen. Können diese bitte bekämpft werden."
2682693,1249540,Grüne Reiswanze auf Tomaten und Gurken
2680426,1246817,"Tigermücke, sehr lästig"
2683744,1248822,Graffiti
2681138,1252337,Dieser Baum hat massiven Besuch von Feuerwanzen. Ist das für ihn/uns ungesund?
2678196,1252199,Japankäfer? Gruss und Dank
2678880,1248847,Tiegermücke
2681742,1243729,Mögliche Tigermücke?
2681706,1248139,"Sehr geehrte Damen und Herren <br/>  <br/> Ich melde mich bei Ihnen, weil wir in der letzten Zeit sehr viele Netzwanzen auf den Balkonen und in unseren Wohnungen haben, und ich den Eindruck habe, dass es um Platanen-Netzwanzen geht. Das Problem betrifft mehrere Wohnungen. <br/>  <br/> Könnten Sie bitte es anschauen? <br/>  <br/> Herzlichen Dank für Ihre Zeit und Hilfe. <br/>  <br/> Mit freundlichen Grüssen"
2682597,1244956,"Möglicherweise Tigermücke, vor Stich erwischt, bei Bedarf kann sie per Post zugestellt werden."
2683855,1246041,"Riesige Tigermücke - ich habe bereits ein paar gesehen, war mir aber nicht ganz sicher. Bei dieser ist es nun sehr deutlich!"
2680638,1248154,"Vermutete Tigermücke getötet, am 17.Sept, um 17.15 Uhr auf dem Parkplatz vor dem Gebäude Badenerstrasse 409. <br/>  <br/> Körper ist schwarz-weiss gestreift, Hinterbeine sind schwarz, mit weissen Ringen an den Gelenken."
2683646,1248845,Wahrscheinlich eine Nosferatu-Spinne
2681023,1245148,Ich habe eine Menge Fremde Käger an unserem Hibiskus entdeckt. Die müssten die YFotos vergrössern . Die Käfer sind etwa 5 mm grosse. Besten Dank zum Voraus .
2687165,1250626,Kein Schaden. Sehr viele dieser Insekten auf Kleidung auf Balkon. Habe solche noch nie gesehen. Bitte um Art und mögliche Gefahr. Danke
2682993,1243242,Ist das eine tigermücke? Freundliche Grüsse
2682176,1247968,"Wir haben unter der Motorhaube unseres Autos eine Menge Essensreste gefunden. Nach einer Weile öffneten wir die Motorhaube und sahen eine Ratte. Es war weder ein Marder noch ein anderes Tier. Es war eine Ratte. Wir haben es nicht geschafft, ein Foto oder einen Film von der Sichtung der Ratte zu machen. Nach einiger Zeit waren die Drähte des Fahrzeugs zerfressen und das Fahrzeug funktionierte nicht mehr."
2683300,1249689,"Wir sind uns unsicher, ob dies eine Nosferatu Spinne ist"
2681917,1251413,"Weiss gestreifte agressive Mücken am Waldrand und im Wald (Tiger- oder Buschmücken?). Haben am Sonntagnachmittag 8.10.23 mehrfach unsere Kinder gestochen (teilweise 3 Stiche nahe beieinander). Die Stiche und die Stellen rundherum sind stark angeschwollen. Haben leider kein Foto der Mücken gemacht, deshalb das Standardbild damit ich die Meldung absenden kann."
2682939,1249282,"Ich muss meine ernsthafte Besorgnis bezüglich der laufenden Asbestsanierungsarbeiten in der Lindanbachstrasse 37 zum Ausdruck bringen. Es scheint, als würde die Abluft in den Innenhof gelangen, ohne angemessen abgeführt zu werden. Dies geschieht gerade während einer warmen, regenlosen Zeit, und die Anwohner wurden nicht darüber informiert. <br/>  <br/> Wir machen uns Sorgen wegen des Geruchs und haben unsere Fenster geschlossen, aber das ist keine dauerhafte Lösung. Könnte bitte jemand diese Angelegenheit dringend überprüfen? Eine einfache Mitteilung an die Anwohner, um uns auf den neuesten Stand zu bringen und mögliche Maßnahmen zu empfehlen, wäre äußerst hilfreich. <br/>  <br/> Die Sicherheit und Gesundheit der Anwohner insbesondere der Kleinkinder sollten höchste Priorität haben. Ich hoffe, dass wir hier bald mehr Informationen bekommen können."
2678384,1252043,"Hier sind zahlreiche Insekten, die wir für Tigermücken halten."
2685059,1244924,Wir haben seit ca. 2 Monaten ständig diese Mücken in der Wohnung. Unseres Erachtens sind es Tigermücken.
2682699,1247237,Wir waren gestern So 29. Oktober um 16.30 Uhr im Alten Botanischen Garten neben dem Glashaus auf der Wiese. Es hatte auffällig viele Mücken. Sie hatte schwarzweiss gestreifte Hinterbeine und waren sehr aufsässig. <br/>  <br/> Leider konnten wir kein Foto machen. Ich dachte an Tigermücken.
2682468,1244834,"Grosse unbekannte Spinne in Wohnung gefunden. Körper war etwa 1 cm lang. Die Beine jeweils etwa 1,5 cm. Foto zeigt die Unterseite der Spinne. Einheimische Art?"
2683719,1253068,"Ratte gesichtet Leider nicht zum ersten Mal, zuvor bereits in Seebach beim grossen Parkplatz bei der Tramhaltestelle, dort wo Glas, Dosen, Kleider entsorgt werden können."
2681788,1250485,Der ganze baum ist befallen von diesen insekten. auch der baum nebenan.
2680084,1250706,ZüriWC Meierhofplatz: Es steht nichts von Gebühren in der ZüriPlan-App.
2685237,1250972,Es hat zwei Ratten die immer wieder kommen und sich auf der Wiese oder nähe den Velos rum laufen
2685756,1245508,Nosferatu-Spinne entdeckt in unserem Kirchgemeindehaus
2687396,1250261,In ZH stettbach hinter dem Coop Gebäude wurde eine Familie von Mäusen/ Ratten gesichtet bei den Abfall Lebensmittel
2681997,1247626,"Hello Team, <br/>  <br/> In this corner is FULL of dead bees. There are hundreds of them… I find this very concerning. <br/>  <br/> Thanks"
2678756,1251940,Guten Tag Handelt es sich beim Tier auf dem Foto um ein Nützling oder Schädling? <br/>  <br/> Besten Dank und freundliche Grüsse
2677353,1248949,"Ich sah diese schwarzen Zecken, ca. 2 mm im Durchmesser. Könnten sie mir sagen um was für eine Art es sich handelt?"
2682368,1247603,Am Stauffacher und Umgebung hat es eine riesige Taubenansammlung. Leider werden sie auch ständig gefüttert !
2679161,1250783,"Wir haben ein Rattennest im Garten identifiziert. Es sind mindestens 5 Ratten. <br/>  <br/> Wir haben es mit eigenen Rattenfallen versucht. Das hat aber nicht geklappt und wir sind sehr froh über Beratung/Unterstützung, wie man diese Ratten bekämpfen kann. Beste Grüsse"
2682621,1247557,"Am Sihl-Ufer auf der Seite und der Höhe vom Haus OBER ist auf Höhe des angezeigten Graffiti, eine tote Ente am Ufer. Noch ist der Tierkadaver beisammen, aber die frei laufenden Hunde machen sich daran zu schaffen."
2682665,1246537,Viele Krähennester Lärmbelästigung und Dreck… Müll wird verschleppt. Danke für Massnahmen.
2679521,1249094,Mögliche Sichtung einer asiatischen Tigermücke
2681405,1247209,Ist das ein Japankäfer?
2681080,1249891,Toter Igel auf Trottoir.
2679334,1250527,Nosferatu Spinne im Eingangsbereich. Das Tier wurde sanft umgesiedelt.
2678423,1251897,Erste Besucher
2683400,1250690,"Guten Tag Diese japanischen Buschmücken (?) plagen uns seit unserem Hinzug von vor 2 Sommern bei uns im Garten. Ich nehme an, dass es keine Tigermücken sind und bin aber nicht sicher, ob ich diese Mücken auch melden sollte. Über eine Antwort und allfällige Massnahmeempfehlungen würde ich mich freuen, Mit freundlichen Grüssen"
2682524,1251708,Bienenschwarm an Fassade
2680496,1250646,Evtl japanischer Käfer in Wohnung ausgeschlüpft
2683404,1253963,Grüezi. Seit einiger Zeit tummeln sich diverse Ratten bei den Containern in der Fahrenden Siedlung. Da die Ganze Anlage sehr ungepflegt ist hoffen wir Anwohner dass die Ratten sich nicht weiter ausbreiten.
2679350,1248126,Evtl eine Tigermücke
2684306,1250825,Vermutliche Aziatische Tigermücke
2680284,1247067,Evt. Tigermücke?
2677918,1249106,Japanische Buschmücke?
2683356,1251267,Ev. Tigermücke
2680638,1247545,Mehrere dieser Käfer finde ich der Jungfer im grünen/schwarzer Kümel Blume. Frisst die feinen Aeste. Kollegen haben die noch nie gesehen. Kartoffelkäfer sind im Garten nebenan . Sehen aber anders aus
2684446,1252639,Ratten im Umgebung von Aldi.
2684446,1252639,Ratten im Umgebung von Aldi.
2683803,1252943,Ratten gesichtet in Seebach zwischen der Sammelstelle und der Tramhaltestelle Seebach
2679385,1248901,"Betreff: Schadenmeldung <br/>  <br/> Sehr geehrtes Team, <br/>  <br/> Hiermit möchte ich vier Schadensfälle melden. Ich habe bereits drei Fotos angehängt, konnte jedoch das vierte Bild nicht mehr einfügen. <br/>  <br/> 1. Die Steckdose in der Küche hat angefangen Rauch zu entwickeln und hat keine Sicherung mehr. 2. Die Wasserhähne in der Küche und im Bad sind undicht, das Wasser tropft kontinuierlich. 3. Der Backofen heizt aber leider nicht richtig besonders nach einer gewissen zeit. Zusätzlich ist das Fenster vom Backofen nicht dicht. <br/>  <br/> Ich bitte höflich darum, dass diese Schadensfälle behoben werden, um weitere Probleme zu vermeiden. Falls Sie weitere Informationen benötigen oder Fragen haben, stehe ich Ihnen gerne zur Verfügung. <br/>  <br/> Mit freundlichen Grüssen <br/>"
2678390,1249540,Sehr viele Ratten ums Haus
2681949,1251761,"Im Dachstock, nordseitig haben sich Tauben seit 1 Jahr niedergelassen und belästigen uns mit ständigem Gurren und Kot auf Terrassen und Dach. Bitte die Fassadenöffnungen reinigen lassen und mit Gitter als Wohnung für Tauben unbrauchbar machen. Vielen Dank…"
2682365,1248988,"Ratte, die von der Rabatte (Hecke) direkt an der Strasse Richtung Wohnsiedlung Limmatstrasse 180/182 unterwegs war. Bekanntes Phänomen."
2680741,1245647,Gestreifte Stechmücke
2684383,1245419,"Nosferatu Spinne Heute Abend in der Küche fotografiert, mit Becher gefangen und ins Freie befördert."
2681322,1248433,Möglicherweise eine Tigermücke. <br/>  <br/> Erfüllt die Punkte: Nicht grösser als 5 Räppler; gestreifter Körper und weisse Ringe an den Beinen.
2683750,1245936,"Ratten gesichtet, Nest wahrscheinlich bei den Steinen"
2680075,1249109,"Hallo, es scheint, als gäbe es in dieser Gegend viele Ratten. In der letzten Woche haben wir mitten am Tag viele herumlaufende Ratten gesehen."
2679074,1249024,Das Problem mit der Taubenfütterung besteht nach wie vor
2685673,1245689,Tausendfüsslerbefall des importierten Gewächshaustausendfüsslers. Exemplare sind an der ganzen Strasse zu finden.
2679152,1249096,"Guten Tag <br/>  <br/> Bei uns an der Altstetterstrasse 147 sichte ich immer wieder Ratten bei den Veloständern. Heute sah ich zum ersten mal zwei Ratten gleichzeitig. Die eine Ratte war deutlich kleiner und sah aus wie ein Jungtier. Ich befürchte, dass sie sich schnell vermehren könnten. Zum Teil finden sie auch den Weg in unsere Keller. Ich nehme an es liegt mit Essensresten des Restaurants im EG und der Verschmutzung bei den Veloabstellplätzen zusammen. <br/>  <br/> Evtl. Können sie etwas dagegen machen?"
2682673,1244819,"Guten Tag, wir haben auf dem Balkon eine uns unbekannte Wespenart entdeckt, die im Rollladenkasten nistet. Die Wespen sind nicht aggressiv. Ist es eine invasive Art? Muss man etwas unternehmen? Vielen Dank für ihre Hilfe."
2681300,1245956,Guten Tag Ist das vielleicht eine Tigermücke auf dem Foto? Danke im Voraus Freundliche Grüsse
2685041,1246735,Tigermücke entdeckt
2683602,1247397,Der nicht abgedeckte Sandkasten ist wieder voller Wespen so wie letztes Jahr! Diese scheinen im Sand ihr Nest zu haben da mehrere Löcher zu sehen sind wo sie ein und ausfliegen! Biodiversität mag gut sein aber auf einem Spielplatz birgt das eine gewisse Gefahr wenn ein kind sich da reinsetzt !
2685972,1251325,Ratten kommen über den Garten auf die Terasse zum Kompost-Kübel.
2677777,1249294,"Hallo zusammen <br/>  <br/> Ich bin mir nicht sicher, aber ich habe vor kurzem gelesen, dass Tigermücken gemeldet werden sollen. Allerdings bin ich mir auch nicht 100% sicher ob es eine ist. Ich weiß nur das ich so eine Art Mücke mit Stachel am Schwanz und der grösse noch nicht gesehen habe. Aus diesem Grund melde ich das jetzt. <br/>  <br/>"
2682503,1248579,Ratte beim wasser ablauf am boden beim eingang von Tattoo studio.
2682859,1248016,"Guten Tag <br/>  <br/> Ich melde mich im Namen des Restaurants Hiltl Sihlpost. Wir haben ein Problem mit Ratten im Sitzbereich vor unserem Restaurant. Die Ratten befinden sich zwischen und unter den Gittern, wie auf dem Foto gekennzeichnet. Unsere Gäste fühlen sich dadurch gestört. Unser Vermieter kann leider nichts dagegen unternehmen, da es Stadtgebiet ist. <br/>  <br/> Vielen Dank für ihre Unterstützung. <br/>  <br/>"
2681964,1248106,Möglicherweise Madenkot/neste in feuchtem Wohnungsecken?
2680609,1249833,Tigermücke
2683644,1247441,Ist Tiger Müke?
2682687,1249081,Asiatische Tigermücke in der Wohnung
2686907,1250645,Tigerstechmücke? Hat 5 Ringe am hinteren Bein
2680711,1248041,"Nesferatu spinne im Badezimmer, wurde mit Tupperware und Karton nach draussen gebracht. vor einem Monat war schonmal so eine Spinne im Bad, auch da rausgebracht."
2679334,1249380,Ratten beim und und die Container sowie im Efeu /Gebüsch.
2679334,1249380,Ratten beim und und die Container sowie im Efeu /Gebüsch.
2685223,1245651,Tiegermücke gesehen
2687173,1245601,Tiegermücke Und ein Käfer der sonst noch nie gesehen wurde.
2684373,1245393,"Potenzielle Tigermücke am Dienstag, 03.09.2024 <br/>  <br/> Sass auf dem Sofa und sah am Fenster nebenan eine grosse Mücke. Bin dann aufgesprungen und hab das Fenster zugemacht. Beim zumachen fiel mir auf wie gross sie war und dass der Körper gestreift war. Ich musste da schon an Tigermücke denken, dachte aber diese gibt es nicht hier in der Schweiz/Zürich. <br/>  <br/> Als ich gerade den 20min Artikel gesehen habe, dachte ich mir eine Meldung wäre gut. <br/>  <br/> Ich war da ein"
2683618,1249230,Tigermücke? Anfang August in der Riedtlisiedlung
2683190,1249966,Tigermücke? <br/>  <br/> Mit Insektenfänger gefangen gestern Abend 03.09
2682981,1248921,Wurde am 28.8. von Tigermücke gestochen.
2681261,1249726,Tigermücke in der Wohnung?
2680427,1246816,"Viele Tigermücken, vorallem am Mittag."
2679297,1252302,Tigermücken bei Grillstelle und angrenzendem Fichtenwald
2683664,1248654,Tiger Mucken
2686583,1250545,"Bereits die zweite Tigermücke, die wir bei uns im Haus hatten diesen Sommer. Ich habe heute in den Nachrichten gesehen, dass man Tigermücken melden soll auf dieser Seite. Die Stiche haben wir im Auge behaltet, aber Beschwerden sind keine aufgetreten."
2681646,1250853,Bei Waldspaziergang durch Tigermückenschwarm verfolgt worden😉
2681290,1248242,"Sehr geehrte Damen und Herren <br/>  <br/> Sie werden es nicht glauben, aber ich habe soeben auf der Schulter vom Gemeinderat R. Siev eine Tigermücke gesichtet, konnte sie aber leider nicht fangen. <br/>  <br/> Freundliche Grüsse"
2688124,1245585,Tigermücken treten hier regelmässig auf.
2681569,1251794,Tigermücken im Teich
2685277,1245780,Tigermücke
2681215,1250177,Tigermuecke gesehen
2683861,1248699,"Tigermücke in der Wohnung gesichtet, nach Tötung die Streifen entdeckt. Leider kein Foto mehr, da die Mücke bereits entsorgt wurde."
2679403,1248108,Tigermücken - die dritte diese Woche.
2685229,1246460,Tigermücke?
2683132,1248869,"Ich habe bereits im Sommer 2023 (Fotos sind von 13.06.2023) bei uns in der Wohnung vermehrt meiner Meinung Tigermücken gesichtet. Ich habe dies im Detail analysiert und gegoogelt. Als ich online gesehen habe, dass die Tigermücke in der Schweiz / Zürich bereits vorkommt, habe ich dem keine weitere Beachtung geschenkt. Nun habe ich aber auf 20min.ch einen Artikel gelesen, dass solche Funde gemeldet werden sollen. Gerne hole ich Versäumtes nach und werde solche Funde künftig gerne direkt auf diesem Wege melden, sofern es sich denn überhaupt um Tigermücken handelt?"
2681847,1249916,Tigermücke in der Küche gesichtet und getötet.
2679394,1247358,"Tigermücke, gesichtet vor 4 Wochen ca. Kein Bild vorhanden aber mit Bild aus Internet abgeglichen"
2682791,1248372,Habe gerade diese Mücke bei uns in der Wohnung gefunden. Handelt es sich dabei um eine Tigermücke?
2682003,1250244,Tigermücke
2685240,1246459,Eine Tigermücke?
2678921,1246538,"Tigermücke. Sichtung 01.09.2024. (Kein Foto vorhanden, nur Platzhalter anbei)"
2683504,1252681,Tigermücke in Schlafzimmer
2680723,1249529,Tiegermücke
2682152,1248902,Tigermücke in Wohnung gesichtet und eingefangen.
2680195,1246853,"Wir haben hier sehr viele Mücken und bei einigen denke ich, dass es Tigermücken sind"
